material,material_harmonized
Aggregates,Not relevant
Alumina,Aluminium
Alumina hydrate,Aluminium
Aluminium,Aluminium
Aluminium hydroxide,Aluminium
Aluminum,Aluminium
ammonium sulfate,Not relevant
Anthracite,Coal
Antimony,Antimony
Arsenic,Not relevant
Asbestos,Not relevant
Barite,Not relevant
Bauxite,Aluminium
Beryl,Not relevant
Beryllium,Beryllium
Bismuth,Bismuth
Bituminous coal,Coal
Bituminous coking coal,Coal
Bituminous thermal coal,Coal
Borates,Not relevant
Boron,Not relevant
Brown coal,Coal
Cadmium,Cadmium
Caesium,Caesium
Calcine,Not relevant
Calcium Carbonate,Not relevant
Cerium,Rare Earth
Chemical grade Alumina,Aluminium
Chrome,Chromium
Chromite,Chromite
Chromium,Chromium
Coal,Coal
Cobalt,Cobalt
Cobalt hydroxide,Cobalt
coke,Coal
Coking coal,Coal
Coking coal concentrate,Coal
Coper Anodes,Copper
Copper,Copper
Copper anode,Copper
Copper anodes,Copper
Copper Cathode,Copper
Copper cathode,Copper
Copper cathodes,Copper
Diamonds,Diamonds
Direct Reduction Iron Pellets,Iron
Direct shipping iron ore,Iron
Dolomite,Not relevant
Dysprosium,Rare Earth
Emerald,Not relevant
Erbium,Rare Earth
Europium,Rare Earth
Ferrite Strontium Powder,Strontium
Ferrochrome,Ferrochrome
Ferromanganese,Ferromanganese
Ferronickel,Ferronickel
Ferroniobium,Ferroniobium
Ferrotungsten,Ferrotungsten
Ferrovanadium,Ferrovanadium
Fluorspar,Not relevant
Frac Sand,Not relevant
Gadolinium,Rare Earth
Gallium,Gallium
Garnet,Garnet
Germanium,Germanium
Gold,Gold
gold,Gold
Graphite,Graphite
Gypsum,Gypsum
Hafnium,Titanium
Hard coal,Coal
Hard coking coal,Coal
Heavy Mineral Sands,Heavy Mineral Sands
Heavy Rare Earths and Yttrium,Rare Earth
Hematite,Hematite
Holmium,Rare Earth
Hot briquetted Iron,Iron
Ilmenite,Titanium
Indium,Indium
Iridium,Platinum Group Elements
Iron,Iron
Iron concentrate,Iron
Iron Ore,Iron
Iron ore,Iron
Iron ore concentrate,Iron
Iron ore fines,Iron
Iron ore lumps,Iron
Iron ore pellets,Iron
Iron pellets,Iron
Iron Sand,Iron
Jade,Not relevant
Kaolin,Not relevant
Lanthanides,Rare Earth
Lanthanum,Rare Earth
Lead,Lead
lead,Lead
Leucoxene,Leucoxene
light crude oil,Crude Oil
Lignite,Coal
Limestone,Not relevant
Lithium,Lithium
Long flame coal,Coal
Lutetium,Rare Earth
Magnesium,Magnesium
Magnetite,Magnetite
Manganese,Manganese
Marble,Not relevant
merchant steel bar,
Mercury,Mercury
Metallurgical bituminous coal,Coal
Metallurgical coa,Coal
Metallurgical coal,Coal
metallurgical coal,Coal
Metallurgical coke,Coal
Molybdenum,Molybdenum
Monazite,Rare Earth
Neodymium,Rare Earth
Nepheline ore,Nepheline
Nickel,Nickel
Niobium,Niobium
Osmium,Platinum Group Elements
Palladium,Platinum Group Elements
PCI,Coal
PCI Metallurgical coal,Coal
PGM,Platinum Group Elements
Phosphate,Not relevant
Phosphates,Not relevant
Platinum,Platinum Group Elements
Platinum Group Metals,Platinum Group Elements
Potash,Not relevant
Potassium Chloride,Not relevant
Potassium Oxide,Not relevant
Potassium Sulfate,Not relevant
Praseodymium,Rare Earth
Promethium,Rare Earth
Pulverized Coal Injection,Coal
Pyrite,Pyrite
Rare Earth Elements,Rare Earth
rebars,
Refined Copper,Copper
Refined Gold,Gold
Refined Lead,Lead
Refined Rutile,Rutile
Refined Silver,Silver
Refined Zinc,Zinc
Refined Zircon,Zircon
Rhenium,Rhenium
Rhodium,Rhodium
Rubidium,Rubidium
Ruby,Not relevant
Ruthenium,Platinum Group Elements
Rutile,Titanium
Samarium,Rare Earth
Sapphire,Not relevant
Scandium,Rare Earth
Selenium,Selenium
Semi-anthracite pulverised coal injection (PCI) coal,Coal
Semi-hard coking coal,Coal
semi-hard coking coal,Coal
Semi-soft coking coal,Coal
semi-soft coking coal,Coal
Silica,Silica
Silver,Silver
Sintering iron ore,Iron
Sodium Bicarbonate,Not relevant
Sodium tripolyphosphate,Not relevant
Soft coking coal,Coal
Spodumene,Spodumene
Steam coal,Coal
Steel,
steel angles,
steel billets,
Strontium,Strontium
Sub-bituminous coal,Coal
Subbituminous coal,Coal
Sulfur,Not relevant
Sulphuric Acid,Not relevant
Synthetic Rutile,Not relevant
Tantalum,Tantalum
tar,Tar
Tellurium,Tellurium
Terbium,Rare Earth
Thermal bituminous coal,Coal
Thermal coal,Coal
Thorium,Rare Earth
Thulium,Rare Earth
Tin,Tin
Titanium,Titanium
Topaz,Topaz
Tungsten,Tungsten
U3O8,Uranium
Uranium,Uranium
Uranium oxide,Uranium
Vanadium,Vanadium
Vermiculite,Vermiculite
wire rods,
Ytterbium,Rare Earth
Yttrium,Rare Earth
Zicron,Zircon
Zinc,Zinc
Zinc ingots,Zinc
Zinc-Lead,"Zinc,Lead"
Zircon,Titanium
